Frequency (Hz)	Level (dB)
971.679688	-59.186798
972.656250	-60.162201
973.632812	-58.389008
974.609375	-57.695518
975.585938	-58.799397
976.562500	-59.400249
977.539062	-58.670521
978.515625	-58.596317
979.492188	-60.276409
980.468750	-60.691502
981.445312	-59.421734
982.421875	-58.838585
983.398438	-58.791954
984.375000	-58.678268
985.351562	-57.873875
986.328125	-58.025333
987.304688	-58.828297
988.281250	-59.694820
989.257812	-60.182102
990.234375	-58.908360
991.210938	-59.088791
992.187500	-61.259308
993.164062	-59.908279
994.140625	-58.010498
995.117188	-58.268497
996.093750	-61.041904
997.070312	-60.385414
998.046875	-59.736912
999.023438	-59.513386
1000.000000	-60.471020
1000.976562	-60.734535
1001.953125	-59.785011
1002.929688	-60.564545
1003.906250	-60.499840
1004.882812	-60.743916
1005.859375	-60.167591
1006.835938	-60.179100
1007.812500	-61.427757
1008.789062	-60.739990
1009.765625	-60.634274
1010.742188	-59.814705
1011.718750	-59.929676
1012.695312	-60.981796
1013.671875	-60.717628
1014.648438	-61.319984
1015.625000	-61.610535
1016.601562	-60.543701
1017.578125	-59.679276
1018.554688	-59.190693
1019.531250	-60.294827
1020.507812	-60.350746
1021.484375	-62.615986
1022.460938	-62.687981
1023.437500	-59.387913
1024.414062	-59.956066
1025.390625	-61.056049
1026.367188	-61.572418
1027.343750	-60.412319
1028.320312	-60.623272
1029.296875	-62.010120
1030.273438	-61.287586
1031.250000	-61.547005
1032.226562	-62.212624
1033.203125	-62.234314
1034.179688	-61.185558
1035.156250	-61.223602
1036.132812	-60.662792
1037.109375	-60.562294
1038.085938	-61.261791
1039.062500	-60.309113
1040.039062	-62.203907
1041.015625	-61.623100
1041.992188	-63.399395
1042.968750	-63.096985
1043.945312	-62.023746
1044.921875	-62.293808
1045.898438	-60.884159
1046.875000	-61.664322
1047.851562	-61.838669
1048.828125	-61.009911
1049.804688	-62.911083
1050.781250	-61.764565
1051.757812	-62.714081
1052.734375	-62.072380
1053.710938	-61.694874
1054.687500	-62.347897
1055.664062	-63.238525
1056.640625	-63.071156
1057.617188	-63.268005
1058.593750	-62.704998
1059.570312	-63.080036
1060.546875	-63.023514
1061.523438	-62.290852
1062.500000	-61.048138
1063.476562	-61.287704
1064.453125	-62.721016
1065.429688	-61.372780
1066.406250	-63.135811
1067.382812	-63.930489
1068.359375	-62.127712
1069.335938	-62.221298
1070.312500	-63.944801
1071.289062	-63.678875
1072.265625	-64.522224
1073.242188	-64.446365
1074.218750	-62.685822
1075.195312	-63.277752
1076.171875	-64.559433
1077.148438	-63.482761
1078.125000	-62.787922
1079.101562	-63.750633
1080.078125	-63.695683
1081.054688	-63.085484
1082.031250	-62.699989
1083.007812	-62.053284
1083.984375	-62.981247
1084.960938	-64.317184
1085.937500	-63.194225
1086.914062	-62.767120
1087.890625	-63.014149
1088.867188	-63.312763
1089.843750	-62.387688
1090.820312	-63.604984
1091.796875	-64.299812
1092.773438	-63.397831
1093.750000	-61.331650
1094.726562	-62.337265
1095.703125	-63.019211
1096.679688	-62.401081
1097.656250	-62.191589
1098.632812	-62.598656
1099.609375	-62.545914
1100.585938	-63.934448
1101.562500	-64.333572
1102.539062	-64.113075
1103.515625	-63.190926
1104.492188	-64.272675
1105.468750	-63.581306
1106.445312	-62.946568
1107.421875	-64.295097
1108.398438	-63.770557
1109.375000	-63.607285
1110.351562	-64.482941
1111.328125	-64.105347
1112.304688	-65.545998
1113.281250	-64.764542
1114.257812	-64.586540
1115.234375	-64.009979
1116.210938	-64.734894
1117.187500	-64.372215
1118.164062	-64.559425
1119.140625	-63.554867
1120.117188	-62.137764
1121.093750	-63.199230
1122.070312	-65.014557
1123.046875	-65.006905
1124.023438	-64.312225
1125.000000	-64.033310
1125.976562	-64.179970
1126.953125	-63.810242
1127.929688	-64.104378
1128.906250	-63.488342
1129.882812	-63.780178
1130.859375	-63.445724
1131.835938	-64.804558
1132.812500	-65.953102
1133.789062	-65.387527
1134.765625	-64.455215
1135.742188	-63.500580
1136.718750	-63.867668
1137.695312	-64.674004
1138.671875	-65.892708
1139.648438	-65.288864
1140.625000	-65.216652
1141.601562	-65.307899
1142.578125	-65.734825
1143.554688	-65.194672
1144.531250	-64.974327
1145.507812	-64.624504
1146.484375	-64.446388
1147.460938	-63.078793
1148.437500	-64.903648
1149.414062	-64.147408
1150.390625	-64.318970
1151.367188	-64.996788
1152.343750	-64.034584
1153.320312	-64.916748
1154.296875	-67.055382
1155.273438	-65.029243
1156.250000	-64.103722
1157.226562	-63.875984
1158.203125	-65.399536
1159.179688	-65.041031
1160.156250	-65.336334
1161.132812	-64.942421
1162.109375	-65.789055
1163.085938	-64.930481
1164.062500	-65.138428
1165.039062	-64.469879
1166.015625	-64.969208
1166.992188	-65.295685
1167.968750	-64.442230
1168.945312	-65.411270
1169.921875	-65.046745
1170.898438	-64.489441
1171.875000	-64.645805
1172.851562	-65.232414
1173.828125	-64.441032
1174.804688	-63.808556
1175.781250	-63.673851
1176.757812	-64.257027
1177.734375	-66.178230
1178.710938	-64.652504
1179.687500	-65.027542
1180.664062	-67.024521
1181.640625	-66.434868
1182.617188	-65.140739
1183.593750	-66.088272
1184.570312	-66.257950
1185.546875	-66.029205
1186.523438	-66.096268
1187.500000	-65.197517
1188.476562	-65.710304
1189.453125	-66.866753
1190.429688	-66.186340
1191.406250	-66.501503
1192.382812	-66.211853
1193.359375	-66.806602
1194.335938	-65.750565
1195.312500	-65.607628
1196.289062	-65.790474
1197.265625	-65.971344
1198.242188	-64.460121
1199.218750	-66.319908
1200.195312	-65.862114
1201.171875	-64.724503
1202.148438	-65.207970
1203.125000	-65.245132
1204.101562	-65.393631
1205.078125	-64.556885
1206.054688	-67.317337
1207.031250	-67.197350
1208.007812	-67.157509
1208.984375	-66.125229
1209.960938	-64.423714
1210.937500	-64.871628
1211.914062	-66.232475
1212.890625	-66.774155
1213.867188	-67.441452
